Trade Name,Address,City,State,Zip,Occupation Code,Owner Name,Location 1
BROTHERS FRANKLIN,2509 N VILLERE ST,NEW ORLEANS,LA,70117,1101 - CONVENIENCE STORES,BROTHERS FRANKLIN INC,"2509 N VILLERE ST
NEW ORLEANS, LA 70117
(29.972047862000068, -90.04969134799995)"
BROWN BUTTER SOUTHERN KITCHEN & BAR,231 N CARROLLTON AVE,NEW ORLEANS,LA,70119,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"BROWN BUTTER SOCIETY,LLC","231 N CARROLLTON AVE
NEW ORLEANS, LA 70119
(29.975911463000045, -90.09928094899999)"
CAJUN JOE'S SEAFOOD,6024 N CLAIBORNE AVE,NEW ORLEANS,LA,70117,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),THANH CHAU CORPORATION,"6024 N CLAIBORNE AVE
NEW ORLEANS, LA 70117
(29.964634081000042, -90.00923012499999)"
Cajun Seafood # 3,1479 N Claiborne Ave,NEW ORLEANS,LA,70112,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),C & H SEAFOOD LLC,"1479 N Claiborne Ave
NEW ORLEANS, LA 70112
(29.970883168000057, -90.06759277499998)"
CHONGWAH EXPRESS,2722 N TONTI ST,NEW ORLEANS,LA,70117,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CHUNG BENJAMIN K,"2722 N TONTI ST
NEW ORLEANS, LA 70117
(29.98130334600006, -90.04703884199995)"
CLAIBORNE EXPRESS,1249 N CLAIBORNE AVE,NEW ORLEANS,LA,70116,"1142 - GASOLINE STATIONS, OTHER","MUNTHER, LLC","1249 N CLAIBORNE AVE
NEW ORLEANS, LA 70116
(29.969340000000045, -90.06898284999994)"
CLAIBORNE SUPERMARKET,2541 N CLAIBORNE AVE,NEW ORLEANS,LA,70117,1106 - GROCERY (EXC CONVENIENCE) STORES,"AWNI, INC","2541 N CLAIBORNE AVE
NEW ORLEANS, LA 70117
(29.97413810100005, -90.04900228399998)"
COZZY SPOT,326 N MIRO ST,NEW ORLEANS,LA,70119,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),"COZZY SPOT, LLC","326 N MIRO ST
NEW ORLEANS, LA 70119
(29.965000506000024, -90.08103917499994)"
CRESCENT CITY RESTAURANT,1001 N BROAD ST,NEW ORLEANS,LA,70119-4212,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CRESCENT CITY REST INC  VOJKOVICH, FRANK","1001 N BROAD ST
NEW ORLEANS, LA 70119-4212
(29.973219733000064, -90.08085250499994)"
D & M DISCOUNT STORE,2037 N BROAD ST,NEW ORLEANS,LA,70119,1106 - GROCERY (EXC CONVENIENCE) STORES,K & O BROTHERS LLC,"2037 N BROAD ST
NEW ORLEANS, LA 70119
(29.984860083000058, -90.07053266999998)"
DO SON NODDLE HOUSE,135 N CARROLLTON AVE,NEW ORLEANS,LA,70119,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"DOSON, INC","135 N CARROLLTON AVE
NEW ORLEANS, LA 70119
(29.975301906000027, -90.09994005399994)"
EL RINCONSITO,216/218 N CARROLLTON AVE,NEW ORLEANS,LA,70119,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),LA FINCA HOME PLATE INN LLC,"216/218 N CARROLLTON AVE
NEW ORLEANS, LA 70119
(29.975671419000037, -90.09920537699998)"
FELIPE'S TAQUERIA,411 N CARROLLTON AVE,NEW ORLEANS,LA,70119,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),FELIPE'S LOUISIANA LLC,"411 N CARROLLTON AVE
NEW ORLEANS, LA 70119
(29.97705250300004, -90.09807214599994)"
FELIPE'S TAQUERIA FRENCH QUARTER,301 N PETERS ST,NEW ORLEANS,LA,70130,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),"FELIPE'S LOUISIANA, LLC","301 N PETERS ST
NEW ORLEANS, LA 70130
(29.953423531000055, -90.06509850799995)"
FELLINI'S CAFE,900 N CARROLLTON AVE,NEW ORLEANS,LA,70119,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CEYLAN LLC,"900 N CARROLLTON AVE
NEW ORLEANS, LA 70119
(29.98070956400005, -90.09390094499997)"
GALVEZ FOOD STORE,120 N GALVEZ ST,NEW ORLEANS,LA,70119,1106 - GROCERY (EXC CONVENIENCE) STORES,"GALVEZ FOOD STORE, INC.","120 N GALVEZ ST
NEW ORLEANS, LA 70119
(29.962571496000066, -90.08166832099994)"
GALVEZ RESTAURANT,914 N PETERS ST,NEW ORLEANS,LA,70116,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),GALVEZ RESTAURANT LLC,"914 N PETERS ST
NEW ORLEANS, LA 70116
(29.958679549000067, -90.06094762899994)"
GRANDPRE'S,834 N RAMPART ST,NEW ORLEANS,LA,70116,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),MP COOKIE LLC.,"834 N RAMPART ST
NEW ORLEANS, LA 70116
(29.961941198000034, -90.06703895099997)"
HANK'S RESTAURANT & LOUNGE,1443 N ROBERTSON ST,New Orleans,LA,70116,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),HANK'S RESTAURANT & LOUNGE INC,"1443 N ROBERTSON ST
New Orleans, LA 70116
(29.969690293000042, -90.06687302199998)"
HOLLYWOOD CELEBRATION LOUNGE,1535 N CLAIBORNE AVE,NEW ORLEANS,LA,70116,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),HOLLYWOOD CELEBRATION LOUNGE LLC,"1535 N CLAIBORNE AVE
NEW ORLEANS, LA 70116
(29.971825135000074, -90.06675315799998)"
IGGY'S BAR,1943 N RAMPART ST,NEW ORLEANS,LA,70116,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),IGGY'S BAR INC,"1943 N RAMPART ST
NEW ORLEANS, LA 70116
(29.967417994000073, -90.05937166799998)"
JACK MEAT MARKET,2279 N DERBIGNY ST,NEW ORLEANS,LA,70117,1101 - CONVENIENCE STORES,JACK MEAT MARKET INC.,"2279 N DERBIGNY ST
NEW ORLEANS, LA 70117
(29.974777618000076, -90.05497225599999)"
JACKIE'S TOUCH OF CLASS BAR,919 N CLAIBORNE AVE,NEW ORLEANS,LA,70116,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),"JACKIE'S TOUCH OF CLASS BAR,LLC","919 N CLAIBORNE AVE
NEW ORLEANS, LA 70116
(29.96620070800003, -90.07177591199996)"
JOE TAT A-LL 30-30 TREME-SPOT,716 N CLAIBORNE AVE,NEW ORLEANS,LA,70119,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"JOE,TATA,LL 30/30 TREME SPOT,LLC","716 N CLAIBORNE AVE
NEW ORLEANS, LA 70119
(29.964297613000042, -90.07285330599996)"
KERMIT'S TREME MOTHER N LAW LOUNGE ,1500 N CLAIBORNE AVE ,NEW ORLEANS,LA,70116,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),KYMA D DOUSE ,"1500 N CLAIBORNE AVE
NEW ORLEANS, LA 70116
(29.97103039700005, -90.06686841299995)"
LANDMARK FRENCH QUARTER HOTEL,920 N RAMPART ST,NEW ORLEANS,LA,70116-3011,2014 - PARKING LOTS & GARAGES,NORTH RAMPART CORP INC,"920 N RAMPART ST
NEW ORLEANS, LA 70116-3011
(29.962480466000045, -90.06654923099995)"
LANDRY'S SEAFOOD HOUSE-N O INC-LIC DEPT,400 N PETERS ST,NEW ORLEANS,LA,70130-1032,1104 - FISH & SEAFOOD MARKETS,LANDRY'S SEAFOOD HOUSE-N O INC,"400 N PETERS ST
NEW ORLEANS, LA 70130-1032
(29.954647254000065, -90.06447281899995)"
LAVA SUPERMARKET,1410 N BROAD ST,NEW ORLEANS,LA,70119,1106 - GROCERY (EXC CONVENIENCE) STORES,"LAVA SUPERMARKET, INC","1410 N BROAD ST
NEW ORLEANS, LA 70119
(29.97646110100004, -90.07775862899996)"
LB SAINTS FOOD STORE,2601 N VILLERE ST,NEW ORLEANS,LA,70117-7148,1101 - CONVENIENCE STORES,LB SAINTS FOOD STORE CORP.,"2601 N VILLERE ST
NEW ORLEANS, LA 70117-7148
(29.97196720200003, -90.04908409599994)"
LILLIE'S BAR & BREAKFAST,740 N BROAD ST,NEW ORLEANS,LA,70119,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"FARVE, LILLIE MAE","740 N BROAD ST
NEW ORLEANS, LA 70119
(29.97096777300004, -90.08254935699995)"
LITTLE TOKYO HIBACHI,310 N CARROLLTON AVE,NEW ORLEANS,LA,70119,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"LITTLE TOKYO RESTAURANT, INC.","310 N CARROLLTON AVE
NEW ORLEANS, LA 70119
(29.97621830500003, -90.09864522999999)"
LIUZZA'S BY THE TRACK,1518 N LOPEZ ST,NEW ORLEANS,LA,70119,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),KITTY G INC,"1518 N LOPEZ ST
NEW ORLEANS, LA 70119
(29.980318941000064, -90.08321929199997)"
LIUZZA'S REST & BAR,234 N TELEMACHUS ST,NEW ORLEANS,LA,70119-5238,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),LIUZZA'S REST & BAR INC,"234 N TELEMACHUS ST
NEW ORLEANS, LA 70119-5238
(29.973500889000036, -90.09536779899997)"
MAGNOLIA DISCOUNT,1233 N BROAD ST,NEW ORLEANS,LA,70119-3302,1106 - GROCERY (EXC CONVENIENCE) STORES,MAGNOLIA DISCOUNT LLC,"1233 N BROAD ST
NEW ORLEANS, LA 70119-3302
(29.97589490000007, -90.07852507299998)"
MAGNOLIA MEAT MARKET,900 N BROAD ST,NEW ORLEANS,LA,70119-4211,1106 - GROCERY (EXC CONVENIENCE) STORES,FRANK'S DISCOUNT LLC,"900 N BROAD ST
NEW ORLEANS, LA 70119-4211
(29.97221148600005, -90.08145860599996)"
MAGNOLIA SUPERMARKET,6100 N CLAIBORNE AVE,NEW ORLEANS,LA,70117-1302,1101 - CONVENIENCE STORES,ALZARA INC,"6100 N CLAIBORNE AVE
NEW ORLEANS, LA 70117-1302
(29.96438403600007, -90.00853068999999)"
MAN CHU FOOD STORE & CHINESE  FOOD,1413 N CLAIBORNE AVE,NEW ORLEANS,LA,70116-1810,1101 - CONVENIENCE STORES,TSY CORPORATION,"1413 N CLAIBORNE AVE
NEW ORLEANS, LA 70116-1810
(29.969820501000072, -90.06856341999998)"
MANCHU KITCHEN,1782 N DORGENOIS ST,NEW ORLEANS,LA,70119-2443,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),MAN CHU KITCHEN INC,"1782 N DORGENOIS ST
NEW ORLEANS, LA 70119-2443
(29.98140093300003, -90.07116757699998)"
MANNINO'S P & M TEXACO SERVICE,1139 N RAMPART ST,NEW ORLEANS,LA,70116,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,MANNINO'S P & M TEXACO  SER INC,"1139 N RAMPART ST
NEW ORLEANS, LA 70116
(29.964329878000058, -90.06516303599994)"
Milkfish,125 N CARROLLTON AVE,NEW ORLEANS,LA,70119,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),Milkfish LLC,"125 N CARROLLTON AVE
NEW ORLEANS, LA 70119
(29.975152109000078, -90.10011059099998)"
MILLETT DUTY FREE,500 N CORTEZ ST,NEW ORLEANS,LA,70119,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),"MILLETT DUTY FREE, INC","500 N CORTEZ ST
NEW ORLEANS, LA 70119
(29.975910311000064, -90.09453815699999)"
MY RIDDIM LOUNGE ,1739 N CLAIBORNE AVE,NEW ORLEANS,LA,70116,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),VALENCIA CARLIN ,"1739 N CLAIBORNE AVE
NEW ORLEANS, LA 70116
(29.973317677000068, -90.06207261599997)"
NEW ORLEANS ATHLETIC CLUB,222 N RAMPART ST,NEW ORLEANS,LA,70112,3334 - FITNESS & RECREATIONAL SPORTS CTRS,"LYNN PROPERTIES, LLC","222 N RAMPART ST
NEW ORLEANS, LA 70112
(29.956941447000077, -90.07150865199998)"
NEW ORLEANS YACHT CLUB,403 N ROADWAY ST,NEW ORLEANS,LA,70124-1639,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),NEW ORLEANS YACHT CLUB,"403 N ROADWAY ST
NEW ORLEANS, LA 70124-1639
(30.025114201000065, -90.11910859899996)"
NORTH BROAD SUPERMARKET,1901 N BROAD ST,NEW ORLEANS,LA,70119,1106 - GROCERY (EXC CONVENIENCE) STORES,"AAA BUI,INC","1901 N BROAD ST
NEW ORLEANS, LA 70119
(29.98372969500008, -90.07153284999998)"
ORIGINAL BROWN DERBY #2,755 N CLAIBORNE AVE,NEW ORLEANS,LA,70116,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),HAMAYEL GROCERS LLC,"755 N CLAIBORNE AVE
NEW ORLEANS, LA 70116
(29.964650213000027, -90.07315295799998)"
PAL'S LOUNGE,949 N RENDON ST,NEW ORLEANS,LA,70119,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),"PINCHE, INC","949 N RENDON ST
NEW ORLEANS, LA 70119
(29.976311499000076, -90.08666558899995)"
PARKVIEW TAVERN LLC,910 N CARROLLTON AVE,NEW ORLEANS,LA,70119-3710,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),PARKVIEW TAVERN LLC,"910 N CARROLLTON AVE
NEW ORLEANS, LA 70119-3710
(29.980839772000024, -90.09376036599997)"
PEI WEI ASIAN DINER,301 N CARROLLTON AVE,NEW ORLEANS,LA,70122,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),PEI WEI ASIAN DINER LLC,"301 N CARROLLTON AVE
NEW ORLEANS, LA 70122
(29.976228175000074, -90.09894853999998)"
RAMPART FOOD STORE,1700 N RAMPART ST,NEW ORLEANS,LA,70116-1914,1101 - CONVENIENCE STORES,PHAN & LOC INC,"1700 N RAMPART ST
NEW ORLEANS, LA 70116-1914
(29.96675082200005, -90.06272826499998)"
RED DOOR,206 N CARROLLTON AVE,NEW ORLEANS,LA,70119,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),"MID CITY PARTNERS, LLC","206 N CARROLLTON AVE
NEW ORLEANS, LA 70119
(29.975509317000046, -90.09938119699996)"
RICHARD'S FOOD STORE,2001 N ROCHEBLAVE ST,NEW ORLEANS,LA,70119-1425,1101 - CONVENIENCE STORES,SUNSHINE DISCOUNT FOOD INC,"2001 N ROCHEBLAVE ST
NEW ORLEANS, LA 70119-1425
(29.98131796900003, -90.06480237199997)"
ROUSES MARKET #29(CARROLLTON),400 N CARROLLTON AVE,NEW ORLEANS,LA,70119,1106 - GROCERY (EXC CONVENIENCE) STORES,"ROUSE'S ENTERPRISES, LLC","400 N CARROLLTON AVE
NEW ORLEANS, LA 70119
(29.977149014000076, -90.09764125199996)"
Rue 127 New American Bistro,127 N Carrollton Ave,NEW ORLEANS,LA,70119,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),Gruezke Restaurant Group LLC,"127 N Carrollton Ave
NEW ORLEANS, LA 70119
(29.975161327000023, -90.10010137299997)"
SAINT LAWRENCE,219 N PETERS ST,NEW ORLEANS,LA,70130,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"MIGHTY MISSISSIPPI, LLC","219 N PETERS ST
NEW ORLEANS, LA 70130
(29.952722944000072, -90.06541884299997)"
SOCIETY PAGE LOUNGE LLC,542 N RAMPART ST,NEW ORLEANS,LA,70112-3504,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),SOCIETY PAGE LOUNGE,"542 N RAMPART ST
NEW ORLEANS, LA 70112-3504
(29.959600914000077, -90.06910844899994)"
SOUTHERN YACHT CLUB,105 N ROADWAY DR,NEW ORLEANS,LA,70124,4901 - CIVIC & SOCIAL ORGANIZATIONS,SOUTHERN YACHT CLUB,"105 N ROADWAY DR
NEW ORLEANS, LA 70124
(30.027292861000035, -90.11430900799996)"
SPECTRUM CATERING,801 N RAMPART ST,NEW ORLEANS,LA,70116,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),FACILITY CONCESSION SERVICES INC,"801 N RAMPART ST
NEW ORLEANS, LA 70116
(29.961489031000042, -90.06768761699999)"
SPICE BAR & GRILL,2005 N BROAD ST,NEW ORLEANS,LA,70119,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"TBARRE, LLC","2005 N BROAD ST
NEW ORLEANS, LA 70119
(29.984440653000036, -90.07091292299998)"
STEWART'S DINER,3403 N CLAIBORNE AVE,NEW ORLEANS,LA,70117,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"STEWART  DINER, LLC","3403 N CLAIBORNE AVE
NEW ORLEANS, LA 70117
(29.97186163200007, -90.03885520699998)"
SUNSHINE FOOD MARKET,2020 N CLAIBORNE AVE,NEW ORLEANS,LA,70116,1106 - GROCERY (EXC CONVENIENCE) STORES,SUNSHINE FOOD MARKET INC,"2020 N CLAIBORNE AVE
NEW ORLEANS, LA 70116
(29.973143682000057, -90.05874943599997)"
THE COYOTE UGLY SALOON,225 N PETERS ST,NEW ORLEANS,LA,70130,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),"GOING DOWN TO JACKSON, LLC","225 N PETERS ST
NEW ORLEANS, LA 70130
(29.952853151000056, -90.06535892399995)"
THE LINE,2029 N CLAIBORNE AVE,NEW ORLEANS,LA,70116-1215,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),GAVEL LLC,"2029 N CLAIBORNE AVE
NEW ORLEANS, LA 70116-1215
(29.973528544000033, -90.05868145099998)"
THE ORGANIC BANANA,1100 N PETERS ST,NEW ORLEANS,LA,70116,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),THE ORGANIC BANANA LLC,"1100 N PETERS ST
NEW ORLEANS, LA 70116
(29.959595422000064, -90.05948413599998)"
THE SHOWCASE BAR LOUNGE,1915 N BROAD ST,NEW ORLEANS,LA,70119,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),TURTLE CREEK ENTERPRISE INC,"1915 N BROAD ST
NEW ORLEANS, LA 70119
(29.98397052200005, -90.07132313499994)"
TOUPS MEATERY,845 N CARROLLTON AVE,NEW ORLEANS,LA,70119,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"TOUPS MEATERY,LLC","845 N CARROLLTON AVE
NEW ORLEANS, LA 70119
(29.980444564000038, -90.09445250199997)"
TRIANGLE DELI,1904 N BROAD ST,NEW ORLEANS,LA,70119,1101 - CONVENIENCE STORES,"HALO III, LLC","1904 N BROAD ST
NEW ORLEANS, LA 70119
(29.983500391000064, -90.07145910399998)"
UPPER LEVEL,1901 N CLAIBORNE AVE,NEW ORLEANS,LA,70116,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),UPPER LEVER BAR & LOUNGE LLC,"1901 N CLAIBORNE AVE
NEW ORLEANS, LA 70116
(29.973428296000066, -90.06069218299996)"
V & T FOOD STORE,913 N CLAIBORNE AVE,NEW ORLEANS,LA,70116,1106 - GROCERY (EXC CONVENIENCE) STORES,THONG SINH INC,"913 N CLAIBORNE AVE
NEW ORLEANS, LA 70116
(29.966178416000048, -90.07179627399995)"
VENEZIA RESTAURANT,134 N CARROLLTON AVE,NEW ORLEANS,LA,70119,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),VENEZIA INC,"134 N CARROLLTON AVE
NEW ORLEANS, LA 70119
(29.975179764000075, -90.09973033799997)"
VOODOO LOUNGE,718 N RAMPART ST,NEW ORLEANS,LA,70116,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),"FLANAGAN' S PUB, INC","718 N RAMPART ST
NEW ORLEANS, LA 70116
(29.960801591000063, -90.06805871999995)"
WE GOT IT,3401 N CLAIBORNE AVE,NEW ORLEANS,LA,70117,1101 - CONVENIENCE STORES,"WE GOT IT, LLC","3401 N CLAIBORNE AVE
NEW ORLEANS, LA 70117
(29.971827776000055, -90.03872392999995)"
WHOLE FOODS MARKET,300 N BROAD ST,NEW ORLEANS,LA,70119,1106 - GROCERY (EXC CONVENIENCE) STORES,WHOLE FOOD COMPANY INC,"300 N BROAD ST
NEW ORLEANS, LA 70119
(29.96367192500003, -90.08887814799994)"
WINN DIXIE STORE #1472,401 N CARROLLTON AVE,NEW ORLEANS,LA,70119,1106 - GROCERY (EXC CONVENIENCE) STORES,WINN DIXIE MONTGOMERY LLC,"401 N CARROLLTON AVE
NEW ORLEANS, LA 70119
(29.977251567000053, -90.09786018499994)"
WIT'S INN,141 N CARROLLTON AVE,NEW ORLEANS,LA,70119-5106,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),SUNRISE ENTERTAINMENT IN,"141 N CARROLLTON AVE
NEW ORLEANS, LA 70119-5106
(29.97536297700003, -90.09986976499994)"
ZULU SOCIAL AID &             PLEASURE CLUB INC,732 N BROAD ST,NEW ORLEANS,LA,70119-4201,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),ZULU SOCIAL AID &       PLEASURE CLUB INC,"732 N BROAD ST
NEW ORLEANS, LA 70119-4201
(29.970936702000074, -90.08257610499999)"
AFTERBURN,1511 S RENDON ST,NEW ORLEANS,LA,70125,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),"L & M ENTERTAINMENT,LLC","1511 S RENDON ST
NEW ORLEANS, LA 70125
(29.955100910000056, -90.10456605699994)"
AL'S BAR,1333 S SARATOGA ST,NEW ORLEANS,LA,70113,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),"LOCK'S PLACE, LLC","1333 S SARATOGA ST
NEW ORLEANS, LA 70113
(29.94282830000003, -90.08017496399998)"
Angeletto's Pizzeria & Pub,220 S Robertson St,NEW ORLEANS,LA,70112,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"Serefe, LLC.","220 S Robertson St
NEW ORLEANS, LA 70112
(29.957100462000028, -90.07803863299995)"
AQUA,633 S ROMAN ST,NEW ORLEANS,LA,70112,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),MIJO 3 ENTERPRISES,"633 S ROMAN ST
NEW ORLEANS, LA 70112
(29.954320006000046, -90.08295081099999)"
AT THE AVENUE,1416 S CLAIBORNE AVE,NEW ORLEANS,LA,70125,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"AT THE AVENUE, INC","1416 S CLAIBORNE AVE
NEW ORLEANS, LA 70125
(29.94666309400003, -90.08804620099994)"
ATELIER VIE,1001 S BROAD AVE,NEW ORLEANS,LA,70125,0144 - WINE/DISTILLED ALCOHOLIC BEV WHLSRS,"ATELIER VIE, LLC","1001 S BROAD AVE
NEW ORLEANS, LA 70125
(29.955779947000053, -90.09577340299995)"
BANGKOK THAI RESTAURANT,513 S CARROLLTON AVE,NEW ORLEANS,LA,70118,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),VILAY LLC,"513 S CARROLLTON AVE
NEW ORLEANS, LA 70118
(29.942639325000073, -90.13443130499996)"
BANKS MEAT MARKET,325 S BROAD ST,NEW ORLEANS,LA,70119,1103 - MEAT MARKETS,"JADE, INC","325 S BROAD ST
NEW ORLEANS, LA 70119
(29.963410357000043, -90.08942202499998)"
BOUCHERIE,1506 S CARROLLTON AVE,NEW ORLEANS,LA,70118,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"ZIMZIM, LLC","1506 S CARROLLTON AVE
NEW ORLEANS, LA 70118
(29.949631372000056, -90.12737127499997)"
BROAD & BANKS SEAFOOD,342 S BROAD ST,NEW ORLEANS,LA,70119,1106 - GROCERY (EXC CONVENIENCE) STORES,HOANG AN INC,"342 S BROAD ST
NEW ORLEANS, LA 70119
(29.962990927000078, -90.08945774599994)"
CAJUN SEAFOOD,2730 S BROAD ST,NEW ORLEANS,LA,70125-1953,1104 - FISH & SEAFOOD MARKETS,"TIEN & TUYET, INC","2730 S BROAD ST
NEW ORLEANS, LA 70125-1953
(29.951006044000053, -90.10023734199996)"
CHINA ORCHID RESTAURANT,702 04 S CARROLLTON AVE,NEW ORLEANS,LA,70119-4709,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),TAN INC OF NEW ORLEANS,"702 04 S CARROLLTON AVE
NEW ORLEANS, LA 70119-4709
(29.979000858000063, -90.09561045399994)"
CHINESE KITCHEN,3327 S CARROLLTON AVE,NEW ORLEANS,LA,70118,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),WOO-KEE TRADING CO INC,"3327 S CARROLLTON AVE
NEW ORLEANS, LA 70118
(29.96278927800006, -90.11300001599994)"
CIRCLE K #2707673,3725 S CARROLLTON AVE,NEW ORLEANS,LA,70118,1101 - CONVENIENCE STORES,"CIRCLE K STORES, INC.","3725 S CARROLLTON AVE
NEW ORLEANS, LA 70118
(29.965399196000078, -90.11016194599995)"
CIRCLE K #4906,6229 S CLAIBORNE AVE,NEW ORLEANS,LA,70125-4105,1101 - CONVENIENCE STORES,CIRCLE K STORES INC,"6229 S CLAIBORNE AVE
NEW ORLEANS, LA 70125-4105
(29.946122673000048, -90.11366257799995)"
